CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U52341KA2008PTC045107,NICETY TRADING PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,30-01-2008,Karnataka,1000000.0,0.0,52341,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,NEAR GANDHI SQUARETHIRTHAHALLI  ,ROC BANGALORE,madanrgowda@gmail.com,,
U74920KA2008PTC047377,HI-ALERT ASSET PROTECTION PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,05-08-2008,Karnataka,100000.0,100000.0,74920,Real estate renting and business activities,"#4, 2nd Cross, Jayarama Reddy Garden, 9th MainKalyana Nagar  ",ROC BANGALORE,info@chinnappaassocaites.com,31-03-2016,31-03-2016
U72900KA2017PTC103044,NIHONSOFT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-05-2017,Karnataka,1000000.0,1000000.0,72900,Real estate renting and business activities,"No. 214, Bhavani Singapur Paradise,Vidyaranyapura  ",ROC BANGALORE,tdprashant@gmail.com,31-03-2018,31-03-2018
U02001KA1995PLC017307,SANJAY AGROTECH LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,01-03-1995,Karnataka,100000.0,700.0,02001,Agriculture & allied,"201,RAHEJA ARCED,KORAMNAGAL INDL.LAY OUT  ",ROC BANGALORE,,,
U63040KA2005PTC036603,TRAVELCOM WORLD WIDE PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,22-06-2005,Karnataka,5000000.0,100000.0,63040,Transport storage and communications,"NO.618, 2ND MAIN,INDIRANAGAR I STAGE,BANGALORE.  ",ROC BANGALORE,jkumble@gmail.com,31-03-2006,31-03-2006
U70102KA2008PTC045828,ADIYA REAL ESTATES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-03-2008,Karnataka,10000000.0,10000000.0,70102,Real estate renting and business activities,"No 45, New Bel Road,Chikkamaranahalli  ",ROC BANGALORE,gurgaongrewalgroup@gmail.com,31-03-2019,31-03-2019
U29309KA2017PTC105679,SANKESH GLOBAL BUSINESS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-08-2017,Karnataka,500000.0,500000.0,29309,Manufacturing,"#548/1,BASAPPA ROADAKKITHIMMANA HALLI LAYOUT  ",ROC BANGALORE,cmorebangalore@gmail.com,31-03-2019,31-03-2019
U74140KA1998PTC023450,JCSS CONSULTING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-03-1998,Karnataka,300000.0,100320.0,74140,Real estate renting and business activities,"2nd Floor, Uniworth PlazaNo.20, Sankey Road  ",ROC BANGALORE,anand@jcssglobal.com,31-03-2019,31-03-2019
U45209KA1995PTC017084,P.C.P CONSTRUCTIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,01-02-1995,Karnataka,500000.0,500000.0,45209,Construction,"2-11, COMMERCE HOUSE,CUNNINGHAM ROAD,BANGALORE, KARNATAKA  ",ROC BANGALORE,nmaniprakash@yahoo.co.in,31-03-2011,31-03-2011
U65993KA1992PTC012998,BAGRECHA INVESTMENTS AND FINANCE PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,30-03-1992,Karnataka,500000.0,400.0,65993,Financial intermediation,"NO.46/2,IV CROSS,MALLESWARAM,BANGALORE-560 003.  ",ROC BANGALORE,,,
U74900KA2008PTC047935,FLUID ENGINEERING PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,03-10-2008,Karnataka,500000.0,100000.0,74900,Real estate renting and business activities,"NO.1796/A, SANGAMA, 9TH CROSS, 5TH MAIN,VIJAYANAGAR 2ND STAGE,  ",ROC BANGALORE,rajumc@yahoo.com,31-03-2012,31-03-2012
U74999KA2019OPC128690,KEY3E SOLUTIONS (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,14-10-2019,Karnataka,10000.0,10000.0,74999,Real estate renting and business activities,"Flat No. 201, 2nd Floor, No. 1,4th Cross, VST Road, Lingarajapuram  ",ROC BANGALORE,dawnbeena@gmail.com,,
U65999KA2009PTC051741,MULTIVISTA CONSULTANCY SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,04-12-2009,Karnataka,100000.0,100000.0,65999,Financial intermediation,"#11 GF, Ist Main, 9th A Block, Kumara Park West   ",ROC BANGALORE,multivistacspl@gmail.com,31-03-2017,31-03-2017
U09219KA2003PTC032632,ANIMASTER PRODUCTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-09-2003,Karnataka,2500000.0,2500000.0,09219,Agriculture & allied,"20, 3RD FLOOR UNIWORTHPLAZA SANKEY ROADBANGALORE  ",ROC BANGALORE,ppswamy_49@hotmail.com,31-03-2008,31-03-2008
U52100KA2011PTC060697,SR ASSET ADVISORY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-10-2011,Karnataka,100000.0,100000.0,52100,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"1st Cross HGH Layout,Ganganagar  ",ROC BANGALORE,sbaid.advisor@dspinvest.com,31-03-2019,31-03-2019
U72900KA2019PTC131098,ANANY TECHNOLOGY SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-12-2019,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"FLAT 312 SAROJ WHITE SANDSBHOGANAHALLI, GEAR SCHOOL ROAD  ",ROC BANGALORE,VEMANAMAR@GMAIL.COM,,
U15100KA2017PTC105369,PADHEYAM FOOD & BEVERAGES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,07-08-2017,Karnataka,100000.0,100000.0,15100,Manufacturing,"125,1st Cross,Prasar Bharathi Layout,Dasarahalli,  ",ROC BANGALORE,tomcheeran@gmail.com,31-03-2019,31-03-2019
U45500KA2017PTC099268,BCC CONSTRUCTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-01-2017,Karnataka,1000000.0,100000.0,45500,Construction,"# 1279, No.210/15, S.M. Nest, Virupakshapura,Indian Exp Layout Main Road, Kodigehalli Village,  ",ROC BANGALORE,swamyp49@gmail.com,,
U74999KA2019PTC125782,AASHAPURA RENEWABLES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-07-2019,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"24, 16th Floor, Concorde Block, UB City, VittalMallya Road  ",ROC BANGALORE,srinivas.nr@envision-energy.com,,
U22300KA2019OPC126514,LIRISHA IMAGE EDITING AGENCY (OPC)PRIVATE LIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,24-07-2019,Karnataka,10000.0,10000.0,22300,Manufacturing,# 130 Nehru RoadKamanahalli  ,ROC BANGALORE,arun1020kumar@gmail.com,,
U74999KA2011PTC059469,SAMARTH GOLD CHAINS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-07-2011,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"NO,1194,GROUND FLOOR,7TH MAIN,11TH A CROSS,2ND STAGE,WEST OF CHORD ROAD BASAVESHWAR NAGAR  ",ROC BANGALORE,incometaxbrg@gmail.com,31-03-2019,31-03-2019
U52390KA2012PTC066093,SABOO CORPORATION PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,29-09-2012,Karnataka,100000.0,100000.0,52390,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"No 32, 6 'C' MainAppanna Block, R T Nagar  ",ROC BANGALORE,rajmrn@gmail.com,31-03-2016,31-03-2016
U00061KA1975PTC002727,SALESANDHEAVY TRANSPORTERS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,28-01-1975,Karnataka,100000.0,100000.0,00061,Agriculture & allied,"613, INDIRA NAGAR, IST STAGE,BANGALORE-38.BAGALORE-38  ",ROC BANGALORE,,,
U93000KA1990PTC011441,YES MAAM DOMESTIC SERVICES PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,05-12-1990,Karnataka,100000.0,30000.0,93000,Other community social and personal service activities,PAVAN PLAZA NO.83SHIVAJICIRCLE SHIVAJINAGAR  ,ROC BANGALORE,,,
U72900KA2019PTC130113,TRIOPZ CONSULTING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-11-2019,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"1st Floor, No 9 and 10,Pampa ExtensionHebbal,Kempapura  ",ROC BANGALORE,rajusreeramulu@gmail.com,,
U51101KA1949PLC001041,BELGAUM TRADING CORPORATION LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,02-05-1949,Karnataka,200000.0,0.0,51101,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,RAMDEV GALLIBELGAUM   ,ROC BANGALORE,,,
U72200KA2004PTC033388,LIVEDESK SOFTWARE SOLUTIONS PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,17-02-2004,Karnataka,1000000.0,1000000.0,72200,Real estate renting and business activities,"1055, 12 A MAINHAL 2ND STAGEBANGALORE.  ",ROC BANGALORE,,,
U32109KA2019FTC122965,MACOUSTICS DA CONVERTERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,29-03-2019,Karnataka,1000000.0,100000.0,32109,Manufacturing,"437,4TH 'C' MAIN, 5TH CROSSHRBR LAYOUT 2ND BLOCK, KALYAN NAGAR  ",ROC BANGALORE,SUNDER@METRUMACOUSTICS.COM,,
U51101KA2015PTC084775,EESHA LIFE CARE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-12-2015,Karnataka,500000.0,100000.0,51101,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,NO.1 # 104 VIJAYSHREE 2ND FLOOR1ST CROSS RAMANNA GARDEN VIDYARANYAPURA  ,ROC BANGALORE,eeshalifecare@gmail.com,31-03-2019,31-03-2019
U74999KA2018PTC113817,SNOOPY NETWORK SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-06-2018,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"No.50, 3rd Cross, Syndicate Bank ColonyNear BPL Arekere Gate, Bannerghatta Road  ",ROC BANGALORE,rajnalur@hotmail.com,31-03-2019,31-03-2019
U29199KA1977PTC003097,BEMEC (MYSORE) PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-01-1977,Karnataka,100000.0,20000.0,29199,Manufacturing,"NO.915,5TH CROSS,12TH MAINSRINIVASANAGAR BANASHANKARI FIRST STAGE  ",ROC BANGALORE,,,
U93090KA2019PTC125474,RETAP SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-06-2019,Karnataka,1000000.0,500000.0,93090,Other community social and personal service activities,"FLAT NO 1005, PLANET SKS,NEAR KPT OFFICE, NH 66, KADRI,  ",ROC BANGALORE,kavana.retapsolutions@gmail.com,,
U51909KA2016PTC097950,UVKAN HEALTHCARE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-11-2016,Karnataka,5000000.0,5000000.0,51909,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"SRI MATHA NILYA, #15, 10TH CROSS, 7TH MAINMUTHYAL NAGAR, OPP. MUTHYALAMMA TEMPLE MES  ",ROC BANGALORE,uvkanhealthcare@gmail.com,31-03-2019,31-03-2019
U31900KA2019PTC129487,BIOCON ELECTRIC PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-11-2019,Karnataka,1000000.0,100000.0,31900,Manufacturing,"B K GARUDACHAR CHARITIESNO. 235, O T C ROAD  ",ROC BANGALORE,bioconoffice@gmail.com,,
U72900KA2017PTC104318,FIVEHOUSE INNOVATIVE SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-07-2017,Karnataka,1000000.0,108000.0,72900,Real estate renting and business activities,"#D-404, Jardine Block, Brigade GardeniaJP Nagar 7th Phase  ",ROC BANGALORE,thangakat@gmail.com,31-03-2019,31-03-2019
U72900KA2012PTC062583,ARMAAN-DIYA TECHNOLOGIES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,16-02-2012,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"#473, 9th Cross,  MS Ramaiah North CityNagawara,  ",ROC BANGALORE,madhu.rangegowda@gmail.com,31-03-2012,31-03-2012
U85110KA1996PTC021432,MID-TOWN PLACES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,22-11-1996,Karnataka,1000000.0,2000.0,85110,Health and social work,"1543/B, 29TH CROSS, 28TH MAINBANASHANKARI II ND STAGE, BANGALORE  ",ROC BANGALORE,,,
U55204KA2006PTC038302,B N SPICE N NICE KITCHENS PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,24-01-2006,Karnataka,1000000.0,900000.0,55204,Hotels and restaurants,"NO.305, KEERTHI MANORG.M. PALAYABANGALORE-75.  ",ROC BANGALORE,spiceandnice@gmail.com,31-03-2009,31-03-2009
U74140KA2002PTC030145,FOLEY DESIGNS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-02-2002,Karnataka,200000.0,167150.0,74140,Real estate renting and business activities,"NO. 14, (OLD NO.4), POTTERY ROAD,RICHARDS TOWNS,  ",ROC BANGALORE,michael@foleydesigns.com,31-03-2019,31-03-2019
U17100KA2017PTC105199,HIMATSINGKA VENTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-2017,Karnataka,1000000.0,100000.0,17100,Manufacturing,"No. 10/24, Kumarakrupa Road,High Grounds,  ",ROC BANGALORE,corporate@himatsingka.com,31-03-2019,31-03-2019
U93000KA2011FTC058433,RGF SELECT INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,02-05-2011,Karnataka,170000000.0,120100000.0,93000,Other community social and personal service activities,"# 580, 3rd Floor, Aswan Plaza20th Main Road, 8th Block  ",ROC BANGALORE,naina.k@rgf-professional.com,31-12-2018,31-12-2018
U72200KA2012PTC062975,EMS WEBTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-03-2012,Karnataka,100000.0,100000.0,72200,Real estate renting and business activities,"No.25, 2rd Floor, 4th Cross,Sampige Road, Malleshwaram.  ",ROC BANGALORE,info@emswebtech.com,31-03-2019,31-03-2019
U32104KA1991PTC012163,KARNATAKA INNOVATIVE SYSTEMS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,22-07-1991,Karnataka,500000.0,25000.0,32104,Manufacturing,"405, 7TH CROSS, IV BLOCK,KORAMANGALA, BANGALORE.   ",ROC BANGALORE,,,
U74900KA2016PTC086443,EINITIO TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-02-2016,Karnataka,1000000.0,1000000.0,74900,Real estate renting and business activities,"07,BYRAVESHWARA NILAYA,B CROSS,4th""A"" MAIN ROAD,KALYANA NAGAR,MOODALAPALYA,  ",ROC BANGALORE,shankar.adithiya@gmail.com,,
